,USD (US$),EUR (€),JPY (¥),GBP (£),AUD (A$),CAD (C$),CHF (CHF),HKD (HK$),NZD (NZ$),SEK (kr),KRW (?),SGD (S$),NOK (kr),MXN ($),INR (?),RUB (?),ZAR (R),TRY (?),BRL (R$),
USD (US$),1,1.098901099,0.009361543,1.234567901,0.675675676,0.751879699,1,0.12755102,0.632911392,0.101626016,8.36E-04,0.724637681,0.110011001,0.051177073,0.014082524,0.015451174,0.066357001,0.175131349,0.24691358,
EUR (€),0.91,1,0.008519004,1.12345679,0.614864865,0.684210526,0.91,0.116071429,0.575949367,0.092479675,7.61E-04,0.65942029,0.100110011,0.046571136,0.012815096,0.014060569,0.060384871,0.159369527,0.224691358,
JPY (¥),106.82,117.3846154,1,131.8765432,72.17567568,80.31578947,106.82,13.625,67.60759494,10.85569106,0.089288252,77.4057971,11.75137514,5.466734903,1.50429517,1.650494438,7.088254811,18.70753065,26.37530864,
GBP (£),0.81,0.89010989,0.00758285,1,0.547297297,0.609022556,0.81,0.103316327,0.512658228,0.082317073,6.77E-04,0.586956522,0.089108911,0.041453429,0.011406844,0.012515451,0.053749171,0.141856392,0.2,
AUD (A$),1.48,1.626373626,0.013855083,1.827160494,1,1.112781955,1.48,0.18877551,0.936708861,0.150406504,0.001237096,1.072463768,0.162816282,0.075742068,0.020842135,0.022867738,0.098208361,0.259194396,0.365432099,
CAD (C$),1.33,1.461538462,0.012450852,1.641975309,0.898648649,1,1.33,0.169642857,0.841772152,0.135162602,0.001111715,0.963768116,0.146314631,0.068065507,0.018729756,0.020550062,0.088254811,0.232924694,0.328395062,
CHF (CHF),1,1.098901099,0.009361543,1.234567901,0.675675676,0.751879699,1,0.12755102,0.632911392,0.101626016,8.36E-04,0.724637681,0.110011001,0.051177073,0.014082524,0.015451174,0.066357001,0.175131349,0.24691358,
HKD (HK$),7.84,8.615384615,0.073394495,9.679012346,5.297297297,5.894736842,7.84,1,4.962025316,0.796747967,0.006553266,5.68115942,0.862486249,0.40122825,0.110406985,0.121137206,0.520238885,1.373029772,1.935802469,
NZD (NZ$),1.58,1.736263736,0.014791238,1.950617284,1.067567568,1.187969925,1.58,0.201530612,1,0.160569106,0.001320684,1.144927536,0.173817382,0.080859775,0.022250387,0.024412855,0.104844061,0.276707531,0.390123457,
SEK (kr),9.84,10.81318681,0.092117581,12.14814815,6.648648649,7.398496241,9.84,1.255102041,6.227848101,1,0.008225018,7.130434783,1.082508251,0.503582395,0.138572032,0.152039555,0.652952887,1.723292469,2.42962963,
KRW (?),1196.35,1314.67033,11.19968171,1476.975309,808.3445946,899.5112782,1196.35,152.5956633,757.1835443,121.5802846,1,866.9202899,131.6116612,61.22569089,16.84762709,18.48501236,79.38619774,209.5183888,295.3950617,
SGD (S$),1.38,1.516483516,0.012918929,1.703703704,0.932432432,1.037593985,1.38,0.176020408,0.873417722,0.140243902,0.001153509,1,0.151815182,0.07062436,0.019433883,0.021322621,0.091572661,0.241681261,0.340740741,
NOK (kr),9.09,9.989010989,0.085096424,11.22222222,6.141891892,6.834586466,9.09,1.159438776,5.753164557,0.923780488,0.007598111,6.586956522,1,0.465199591,0.128010139,0.140451174,0.603185136,1.591943958,2.244444444,
MXN ($),19.54,21.47252747,0.182924546,24.12345679,13.2027027,14.69172932,19.54,2.492346939,12.36708861,1.985772358,0.016333013,14.15942029,2.149614961,1,0.275172511,0.301915946,1.296615793,3.42206655,4.824691358,
INR (?),71.01,78.03296703,0.664763153,87.66666667,47.97972973,53.39097744,71.01,9.057397959,44.94303797,7.216463415,0.05935554,51.45652174,7.811881188,3.63408393,1,1.097187886,4.712010617,12.43607706,17.53333333,
RUB (?),64.72,71.12087912,0.605879049,79.90123457,43.72972973,48.66165414,64.72,8.255102041,40.96202532,6.577235772,0.054097881,46.89855072,7.119911991,3.312180143,0.911420927,1,4.294625083,11.33450088,15.98024691,
ZAR (R),15.07,16.56043956,0.14107845,18.60493827,10.18243243,11.33082707,15.07,1.922193878,9.537974684,1.531504065,0.012596648,10.92028986,1.657865787,0.771238485,0.21222363,0.232849197,1,2.639229422,3.720987654,
TRY (?),5.71,6.274725275,0.053454409,7.049382716,3.858108108,4.293233083,5.71,0.728316327,3.613924051,0.580284553,0.004772851,4.137681159,0.628162816,0.292221085,0.08041121,0.088226205,0.378898474,1,1.409876543,
BRL (R$),4.05,4.450549451,0.037914248,5,2.736486486,3.045112782,4.05,0.516581633,2.563291139,0.411585366,0.003385297,2.934782609,0.445544554,0.207267144,0.057034221,0.062577256,0.268745853,0.709281961,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,0.047275791,,,,,,,,,,,,,,,,,
